"","ID","RecentCut2009_2018","RecentCut2009_2018_raw","CutArea","season"
"0","X13_2013_Fall.X13_BB90",1,73,65700,"fall"
"01","X15_2013_Fall.X15_BB90",0,0,0,"fall"
"02","X156_2014_Fall.X156_BB90",1,2766,2489400,"fall"
"03","X157_2016_Fall.X157_BB90",1,1,900,"fall"
"04","X158_2016_Fall.X158_BB90",1,1181,1062900,"fall"
"05","X178_2014_Fall.X178_BB90",1,1696,1526400,"fall"
"06","X181_2015_Fall.X181_BB90",1,976,878400,"fall"
"07","X19_2013_Fall.X19_BB90",1,514,462600,"fall"
"08","X192_2015_Fall.X192_BB90",1,440,396000,"fall"
"09","X200_2015_Fall.X200_BB90",1,2569,2312100,"fall"
"010","X202_2015_Fall.X202_BB90",0,0,0,"fall"
"011","X205_2015_Fall.X205_BB90",1,97,87300,"fall"
"012","X31_2013_Fall.X31_BB90",1,70,63000,"fall"
"013","X58_2013_Fall.X58_BB90",0,0,0,"fall"
